Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Early-demographic dividend,EAR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,21.9919319366382,21.996577031288,22.4800499047256,23.1180905462114,24.8795579433422,25.262412817124,26.5642608383833,28.2121602826155,28.11621091003,27.8419311043637,28.5402868592297,28.6210873853653,28.3228996861987,27.3393181890166,27.6166372886395,27.442919977673,26.9473928029237,27.3969234182261,27.7070366338661,26.7973258000838,25.7483822012517,27.0116926287374,27.7247663676261,27.87826204073,..
Early-demographic dividend,EAR,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,429935434191.784,435327017353.994,413928653473.338,462038969737.252,522368775970.188,598364273872.749,683891700097.128,794496193989.459,903530778733.709,964815718225.536,1119315925627.31,1289750588739.49,1362083793988.06,1401169219843.86,1487134759048.35,1445291684797.56,1442105448234.74,1541053993434.99,1553395507623.03,1577350755911.1,1557823129067.02,1675294043218.88,1766552495370.33,1895045996211.08,..
Early-demographic dividend,EAR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,8377973566013.96,7790170401820.93,7913466252859.02,8703213788319.02,9759733268577.71,10413111385434,11037062473786.6,12333826277301.9,14223506974109.1,14633924802510.1,17080574558951.9,19800048149685.3,21177835969896.8,21415690682394,22094710753929.9,22000917165875.9,22781793863032,24334957894980.2,26494505143186.8,27040135154758.5,27163485040463.8,31155716955057.3,30673443320595.9,30780176881541.3,..
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,4086.5181236253,3765.76496640633,3793.34541491271,4138.94393779073,4606.36838279497,4878.31107550326,5131.87299138217,5691.5373348119,6514.16831583065,6654.35892650051,7712.66504492202,8875.65549142235,9416.21589854877,9446.40916515236,9672.05856791833,9562.10616350756,9832.13036290931,10428.6321782284,11285.8972298534,11458.795842252,11464.1012855988,13117.3989864275,12889.9061983889,12908.6377076783,..
East Asia & Pacific,EAS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.654827607251,23.5019550584049,24.8569257219253,26.4184968243144,29.2969206554786,31.6717718421552,34.7951488067414,36.3048440695658,35.9432550646059,29.2870697970986,32.0854417199855,32.625386523555,31.8660227071827,32.4043487580481,32.299189083031,30.2173572829461,28.1528122373973,29.1857778461426,29.1219845745454,27.9365022635258,26.6506318973151,29.0982143396041,31.5769004339558,30.1704541170478,..
East Asia & Pacific,EAS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,21.6130161357071,21.7766930160809,22.5607514716102,23.9521546259112,26.7518410044272,28.7302851401986,31.0531236116444,31.7137260487697,32.6440278899874,26.1453390896487,29.1341592429441,30.7720701128204,30.3729667558781,30.9455329766866,30.6615725293019,27.3224879658202,25.5267081939199,26.7650051312483,27.647096776469,26.3387659117313,24.0756636948408,26.39375533378,28.9737589170218,27.8431091748826,..
East Asia & Pacific,EAS,Trade (% of GDP),NE.TRD.GNFS.ZS,52.8427490826691,51.5601473903523,53.1248940645079,58.7002367154118,65.2881434213032,67.7964799556625,70.2659340177146,69.53102073653,70.0229576665944,57.8706577239153,63.1216401969344,65.2984957227694,63.8866276440182,63.1327268535942,62.1673807329725,56.6143432698184,52.9622030891093,54.9603209872107,55.9977779433117,53.7528154375748,50.7771764540976,55.9863094031671,61.1159909252213,58.0666970031085,..
East Asia & Pacific,EAS,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific,EAS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.59196917460972,3.57755452095074,1.88572000240366,2.28915662650607,3.23751394003321,3.03702332617012,3.93616259929866,3.76400259181595,8.34208634920956,1.6217301400345,3.05730563962442,5.0214601462073,2.97460779814473,2.58268766141795,2.51087633253706,0.795279630579839,1.27699094497324,1.8003422246862,2.368549058067,1.70397863236265,0.846905537459305,2.47710241465447,5.40874375479067,4.24579935926737,..
East Asia & Pacific,EAS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,29.0063827334239,28.5618893757206,27.7074450460995,28.5176463351339,29.4144022269322,29.6847606258994,30.0334440572995,30.6073649299094,31.9522668894259,31.5466178388055,32.88713823944,33.793737826414,34.3545745592848,35.4125648396811,35.7042694544324,34.847243048121,34.3201308605407,34.9552188535899,35.8102322839873,35.4129599508933,35.3788471459168,36.1729998388632,36.5351349069132,35.497351315971,..
East Asia & Pacific,EAS,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,1314948424456.22,1257524732827.77,1285676004138.75,1405528312831.77,1552169784078.4,1646171391638.41,1718058904065.36,1893739803013.62,2209443349140.83,2382104243254.1,2729073339018.18,3238234738555.55,3513833684080.76,3514626481114.04,3598277306579.58,3602225185611.07,3763806777023.7,3979875336009.05,4379243357946.25,4538074532848,4757464745559.04,5214657348634.02,5117643789787.41,5211211602260.43,..
East Asia & Pacific,EAS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1736183129453.76,1847281359888.64,2044577363437.31,2314251832220.05,2683483098763.17,3108469305951.51,3743852184651.42,4733264174584.29,5988921430189.72,6493362123631.13,7903112357496.09,9653901165350.29,10763685249440,11874646667396.6,12805534721608.4,13329363887708.5,13621109083386.3,14888272499556.8,16648930593614.8,17222812070662.6,17496305186280.5,20849863760041.9,21124945071215.4,21162836277192.4,..
